"Algebra","Analysis","Proba","Informatic","Economy","Option1","Option2","English","Sport"
40,26,26,26,51.9,17,24,19,11.5
37,34.5,37,32,72,24,22,26,11.5
37,41,29,34.5,72,24,27,19.6,11.5
63,37.5,57,35.5,77.4,23,23,21,14
55,31.5,34,36,57.9,19,24,24,11.5
50,38,32,20,66.9,20,15,22.2,0
49,32.5,20,45,68.4,18,19,26,0
42,34,34,20,72,19,17,23,10
20,37,14,20,63,20,18,14.8,0
53,42,53,22.5,78.9,20,21,26,12
62,31,48,37.5,42,32,19,18.8,12
42,44,34,29,77.4,23,23,20,8.5
36,32.5,54,29.5,78.9,28,27,26,11.5
40,22,16,24,66,21,21,20.2,13
38,33,33,18.5,67.5,20,23,23,15
44,33,29,25.5,66.9,26,22,25.2,8.5
48,35.5,39,51,73.5,21,24,27.4,8.5
31,31,11,15,63.9,16,30,18.8,0
47,22,42,54,66,26,19,27,0
52,50,61,39.5,84.9,30,28,30,15
50,37.5,36,42,78,29,27,18.5,10
31,32.5,43,32,72.9,23,23,16,12
60,39,54,21,59.4,29,19,21.8,12
49,46,30,36,73.5,25,7,21.5,13.5
50,35,44,23.5,78,26,28,20.6,10
42,37,41,22.5,69.9,25,24,24.2,12
42,33,15,17.5,73.5,26,24,21.4,13
42,43,43,28.5,60,30,19,22.2,13
56,21,22,20,90.9,24,28,31,11.5
55,32.5,27,30.5,72,29,27,16.8,10
41,31,15,24,78.9,19,27,27,10
41,32,32,28,64.5,21,16,17,13
47,34,24,25,60.9,24,20,21.4,14.5
48,33,34,19.5,69.9,25,20,22,9
50,28,26,22,76.5,28,24,17,12
46,23,24,15.5,71.4,24,13,19,9.5
36,29,8,20.5,57,20,18,24.4,10
50,26,18,18,53.4,22,28,11.2,0
41,19,9,17,63.9,17,15,20,9
53,26,32,17.5,70.5,19,22,22,11.5
54,35.5,31,23,66,21,15,21.6,14.5
39,31,23,26.5,72,22,27,17.5,7
70,39,47,40.5,69,28,25,23.2,11.5
38,27.5,19,26.5,72,24,28,18.4,11.5
37,20,35,17.5,69,14,24,21,9
58,20,16,46.5,76.5,20,25,20,12
58,46,17,41,78.9,28,23,12,10
46,43,26,23.5,60.9,21,21,12,11.5
47,48,44,27.5,67.5,23,23,18,11.5
48,28.5,28,27.5,77.4,24,23,22,10.5
46,29.5,28,24,81,27,28,22,0
35,22.5,11,17.5,77.4,13,5,25.4,0
65,50,53,35.5,83.4,34,21,20,13.5
68,50,48,48,74.4,25,28,21.4,9
66,58,47,39.5,66.9,19,24,12,12
37,33,19,25.5,66.9,23,22,24.6,7
41,44,31,26.5,66.9,24,19,27,10
52,35,52,24.5,77.4,26,27,30.4,14
42,40,26,28,67.5,19,26,16,0
54,48,50,34.5,72,20,27,23.8,7.5
46,45,32,25.5,74.4,25,26,18.2,15
47,45,24,21.5,73.5,27,16,20,14.5
56,45,29,27.5,60,14,17,21.2,0
40,29.5,32,26,60,18,26,21.2,12
40,29.5,32,26,60,18,26,21.2,12
34,16,28,26.5,59.4,15,27.5,24,0
35,30,23,23,84,18,24,26.6,0
38,22.5,24,20,65.4,15,24,21,15
40,30,22,21,71.4,24,28,18.4,0
58,34.5,33,31.5,76.5,26,26,22.4,12
53,24.5,45,28,66,27,21,20.2,11.5
17,35,28,10.5,34.5,11,16,8.5,0
48,47,52,27.5,84,19,27,17,11.5
47,32.5,21,24,75,25,20,22,11.5
50,32,30,12.5,69,34,26,12.8,0
37,32,15,21,72,17,15,23,12
35,29,22,19.5,72,20,27.5,20.2,12
37,24.5,23,24.5,67.5,25,23,21.2,10
55,45,52,29,78.9,31,23,21,11.5
41,23,4,17,80.4,20,23,24,11.5
34,32.5,22,20.5,72,17,25,20.8,11.5
38,24.5,39,25.5,48,20,22,18,12
43,32.5,33,24.5,62.4,24,19,20,13.5
41,18,19,25.5,86.7,22,27,30.8,0
46,37,36,23,75,25,24,23,11
72,40,49,17,84,29,24,21.5,10.5
50,46,43,31.5,69.9,30,22,23,0
53,34.5,65,24.5,81.9,26,22,26,11.5
46,54,36,31.5,78.9,34,23,19.2,11
9,18,21,33,36.9,10,7,16,0
39,18,14,30,65.4,14,26,14,11
33,24,27,26,63,18,16,29.2,11
39,33,18,26.5,60,24,25,19,12
40,30,29,25,64.5,20,21,15.8,0
27,26,2,15,64.5,8,28,21,15
62,47,62,34.5,71.4,23,26,26,12
51,35.5,39,40,63.9,24,22,24,12
45,34,19,30,74.4,32,27,24.6,13
57,30.5,24,20,68.4,30,24,22.6,11.5
60,41,18,30,66,20,24,17.2,0
48,44,22,30,66.9,22,28,19.6,0
44,45,42,35,63.9,27,22,18.4,15
47,32,26,21,84,23,28,19,11.5
44,32,42,26.5,72,28,27.5,23,11.5
